algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,error_message,repetition,hyper_params_id,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC
Isolation Forest (iForest),skab,valve1_15,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.22137451171875,,,0.7687368937966182
Isolation Forest (iForest),skab,valve1_2,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.1897850036621094,,,0.3787604641625051
Isolation Forest (iForest),skab,valve1_3,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.293696641921997,,,0.5250514984384343
Isolation Forest (iForest),skab,valve1_4,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2710020542144775,,,0.5034261044577767
Isolation Forest (iForest),skab,valve1_5,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2342379093170166,,,0.6212196806243454
Isolation Forest (iForest),skab,valve1_6,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.269087791442871,,,0.32310405643738976
Isolation Forest (iForest),skab,valve1_7,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2981319427490234,,,0.5280044437277142
Isolation Forest (iForest),skab,valve1_8,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.252202033996582,,,0.6615624999999999
Isolation Forest (iForest),skab,valve1_9,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.3943443298339844,,,0.5836234377709308
Isolation Forest (iForest),skab,valve2_0,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.3062989711761475,,,0.6856263931614436
Isolation Forest (iForest),skab,valve2_1,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2289791107177734,,,0.562347278785635
Isolation Forest (iForest),skab,valve2_2,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.2186927795410156,,,0.5326044217569759
Isolation Forest (iForest),skab,valve2_3,UNSUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,51a4a30ddaf202e7f16a8b7a145e0c64,"{""n_trees"": 100, ""max_samples"": 256}",,,,2.258058547973633,,,0.5572067510548523
LSTM-AD,skab,other_13,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",19.607546091079712,,,1.330615520477295,,0.002200603485107422,0.8883937230009697
LSTM-AD,skab,other_14,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",18.971624612808228,,,1.39198899269104,,0.0021796226501464844,0.648462068739126
LSTM-AD,skab,other_15,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",20.33641242980957,,,1.3635883331298828,,0.0022003650665283203,0.487581314809491
LSTM-AD,skab,other_16,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",19.339234113693237,,,1.3259773254394531,,0.0021719932556152344,0.6209450285137913
LSTM-AD,skab,other_17,SEMI_SUPERVISED,MULTIVARIATE,SEMI_SUPERVISED,MULTIVARIATE,Status.OK,,1,68475eda2a5c3cb0de12f7a3dee4bd2b,"{""epochs"": 10, ""window_size"": 30}",19.19173574447632,,,1.3489351272583008,,0.005092144012451172,0.6280250273486485
